,fors2name,zobs,Nc,Ns,Nm,funcmin_c,funcmin_m,funcmin_s,MAH_lgmO,MAH_logtc,MAH_early_index,MAH_late_index,MS_lgmcrit,MS_lgy_at_mcrit,MS_indx_lo,MS_indx_hi,MS_tau_dep,Q_lg_qt,Q_qlglgdt,Q_lg_drop,Q_lg_rejuv,AV,UV_BUMP,PLAW_SLOPE,LGMET,LGMETSCATTER
87,SPEC279,0.71882,1591,1582,9,33760259.5799306,20090.6669860503,67500428.49287516,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
88,SPEC280,0.49138,1454,1445,9,7484738.573934839,933.1604008025955,14968543.987468876,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
89,SPEC281,0.28908,1623,1614,9,955746.1067406904,54.59160656815864,1911437.6218748128,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
90,SPEC282,1.0997,1566,1557,9,377845020.37545115,39952.906040365015,755650087.844862,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
91,SPEC283,0.63182,1824,1815,9,429282582.0337519,2284.5776805055616,858562879.4898233,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
92,SPEC287,0.98032,1756,1749,7,78069140462.88795,27580.248351255246,156138253345.52756,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
93,SPEC288,0.68969,1788,1780,8,51267848.874575004,5372.822719251613,102530324.92643076,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
94,SPEC291,1.00245,1565,1556,9,2423319.968223532,4999.505412193427,4841640.431034871,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
95,SPEC292,0.99989,1834,1826,8,21078269.443823874,15491.218924087656,42141047.66872366,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
96,SPEC294,0.43689,1296,1287,9,1267238.4181118712,823.2355340632955,2533653.6006896794,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
97,SPEC295,0.76363,1621,1613,8,7095185.203895764,26704.723136909084,14163665.68465462,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
98,SPEC296,0.82181,1765,1757,8,15637544.596744774,26555.658375129082,31248533.53511442,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
99,SPEC297,0.82223,1576,1567,9,1041259.0231926652,6472.779815833831,2076045.2665694966,12.0,0.05,0.1,1.0,12.0,-1.0,1.0,-1.0,2.0,1.0,-0.50725,-1.01773,-0.212307,1.0,2.0,-0.25,-3.5,0.2
