,fors2name,zobs,Nc,Ns,Nm,funcmin_c,funcmin_m,funcmin_s,MAH_lgmO,MAH_logtc,MAH_early_index,MAH_late_index,MS_lgmcrit,MS_lgy_at_mcrit,MS_indx_lo,MS_indx_hi,MS_tau_dep,Q_lg_qt,Q_qlglgdt,Q_lg_drop,Q_lg_rejuv,AV,UV_BUMP,PLAW_SLOPE,SCALEF
67,SPEC151,0.49762,1350,1341,9,5488228.060634477,353.18212640692354,10976102.939142548,12.38569916692125,0.060000000000000005,4.0,1.5,12.24999855903652,-0.9473245915622105,1.25,-1.25,2.25,1.1,-0.60725,-0.91773,-0.212307,0.0,1.0,0.0,1.0
68,SPEC152,0.1304,1389,1380,9,10954827.155305317,8.016131598034962,21909646.294479035,11.770570776408503,0.060000000000000005,4.0,1.5,12.042556171457672,-1.2499997186691116,1.25,-1.25,1.75,0.9803444492758028,-0.5584355645919586,-1.1177300000000001,-0.11230699999999999,0.0,1.0,0.0,1.0
69,SPEC156,0.18348,1339,1330,9,2840303.7781280843,264.5192191235241,5680343.037037045,11.988687315849479,0.060000000000000005,4.0,1.5,12.056477464923615,-1.10968435098827,1.25,-1.25,2.25,0.9411428086600873,-0.48619860821876376,-1.1177300000000001,-0.11230699999999999,0.0,1.0,0.0,1.0
70,SPEC160,0.20323,1014,1006,8,14652006.046530558,84.35298819344929,29303927.74007292,11.900062019150859,0.060000000000000005,2.059077731295097,1.5,12.187065015329795,-0.7644355221413953,1.2277773955746685,-1.045729192183458,2.0897880090316643,0.9165622074065405,-0.43650786176712475,-1.0277390986186932,-0.11230699999999999,0.0,1.6518790004593864,0.0,1.0
71,SPEC161,0.44612,1118,1109,9,395026.62561699544,140.1668465091741,789913.0843874817,12.703617542561096,0.04,3.6382733058262495,0.5078830656690921,12.202273151148457,-1.1722598896993566,0.8934857292211764,-0.76014267861101,2.2485863319744355,1.1,-0.60725,-0.91773,-0.212307,0.2622430411692005,3.0,0.0,1.0
72,SPEC164,0.4369,1370,1361,9,608380.3186335285,105.17240071821638,1216655.4648663388,12.227176678211801,0.060000000000000005,3.3838172427527926,1.5,12.147912515796872,-0.8675666606492589,1.25,-1.25,2.25,1.1,-0.60725,-0.91773,-0.212307,0.0,1.0,0.0,1.0
73,SPEC171,0.53328,1170,1162,8,2129685.6252284343,1506.9833478066066,4257864.2671090625,13.357381141294209,0.060000000000000005,4.0,1.5,12.25,-0.75,1.25,-0.75,2.25,1.1,-0.60725,-0.91773,-0.212307,0.579732686844668,3.0,-0.35,1.0
74,SPEC178,0.44596,1396,1387,9,1004209.6065423593,5611.288028962773,2002807.925055756,12.547407174333989,0.053369927746486974,2.035419198728015,1.2303080868311913,12.25,-0.7580047487697921,0.9225784453628431,-0.7500884719255266,2.0575407715839513,1.1,-0.60725,-0.9719327604672336,-0.212307,0.0,1.6510677782359198,-0.05178945981216304,1.0
75,SPEC179,0.46721,1353,1344,9,136647.12361825776,255.88285341069906,273038.36438310484,12.41553351122826,0.04,1.0,0.7633838532785765,12.25,-0.75,0.75,-0.75,2.084918911076199,1.1,-0.60725,-0.91773,-0.212307,0.6139664707566401,3.0,0.0,1.0
76,SPEC181,0.29389,1157,1148,9,1097965.4336274446,2181.8014054107,2193749.0658494784,14.0,0.060000000000000005,1.0,1.5,11.75,-1.25,0.75,-1.0198449361703834,2.25,1.1,-0.60725,-0.91773,-0.11230699999999999,0.0,1.0,0.0,1.0
77,SPEC182,0.44675,1348,1339,9,345587.5132990545,664.9452268437482,690510.0813712653,14.0,0.060000000000000005,4.0,0.5,12.25,-0.75,1.0904850894216351,-0.8973957212937507,1.75,1.1,-0.60725,-0.91773,-0.212307,0.7441281856271661,3.0,0.0,1.0
78,SPEC184,0.07428,1358,1349,9,379533.2935366808,133.52706495583664,758933.0600084058,11.724070123044486,0.04,1.8621104215884565,0.9971475859338156,12.110664312733457,-1.0501845231191862,1.2499999828365658,-0.9749859383295233,1.7686056506457368,1.0794341421077671,-0.5932269989927406,-0.91773,-0.308555550259137,0.9727116951682035,2.1281579517072027,-0.022435848133142894,1.0
79,SPEC185,0.20313,1122,1113,9,523554.000631768,159.17005749678674,1046948.8312060393,12.166955093626553,0.060000000000000005,2.3510503169615373,1.5,12.1667912127128,-0.8462114304746161,1.25,-1.032054220442974,2.0336709803709105,0.9000444279429198,-0.4206688805369012,-1.1177300000000001,-0.11230699999999999,0.8475289554849088,1.8802350010673765,-0.23213651974366167,1.0
80,SPEC186,0.60118,1380,1371,9,894670.4094061162,736.9006046354142,1788603.918207597,14.0,0.060000000000000005,4.0,1.5,12.25,-0.75,0.75,-0.75,1.75,1.1,-0.60725,-0.91773,-0.212307,0.569596855988514,3.0,-0.35,1.0
81,SPEC187,0.51405,1170,1161,9,197905.30815412063,113.42489828090133,395697.1914099604,12.389224109401084,0.060000000000000005,4.0,1.5,12.249934121370783,-0.7503965325314721,1.25,-1.1284985801331198,2.25,1.1,-0.60725,-0.91773,-0.212307,0.0,1.0,0.0,1.0
82,SPEC188,0.36317,1398,1389,9,1865852.7152967248,723.1806700961239,3730982.2499233535,14.0,0.04,1.0,0.5485834784387396,11.750517126802484,-0.7677240031774376,0.7500383792351303,-1.18590844432316,2.25,1.1,-0.60725,-0.91773,-0.212307,0.0,1.0,0.0,1.0
83,SPEC189,0.29694,1178,1169,9,440132.73798869696,69.24727352675185,880196.2287038672,14.0,0.04,1.0,0.7725388708662447,11.75,-0.9605737809977086,0.75,-1.0702449339766935,2.25,1.1,-0.60725,-0.91773,-0.11230699999999999,0.0,1.0,0.0,1.0
84,SPEC191,0.63716,1396,1387,9,331740.91445348354,1023.7444147880269,662458.0844921791,13.420326477110022,0.060000000000000005,4.0,1.5,12.25,-0.75,1.25,-0.75,2.25,1.1,-0.60725,-0.91773,-0.212307,0.2970559413413157,1.0,-0.35,1.0
85,SPEC192,0.4075,1265,1256,9,1663246.3193444428,774.7866085533124,3325717.852080332,13.812432019684088,0.060000000000000005,1.5693549173526675,0.5011533986755645,11.75023010248151,-1.047237496745314,0.7625588079641915,-0.75,2.25,1.1,-0.60725,-0.91773,-0.212307,0.0,1.0,0.0,1.0
86,SPEC193,0.2941,1286,1278,8,568419.5071293843,514.4579242727395,1136324.556334496,11.825046596196028,0.060000000000000005,3.860368525571292,1.5,11.783681346694136,-0.8790163142876023,1.2035949358936144,-1.2458079670792033,2.249948793399434,1.099989279280259,-0.6072470954156848,-0.91773,-0.11230699999999999,1.246343996947939e-05,1.0013570963048657,0.0,1.0
87,SPEC194,0.532,1166,1157,9,36217.53256651722,159.63746618424847,72275.4276668502,13.95323426229272,0.05977645511565864,3.9998763020269075,0.5736561872465084,11.812029104034858,-0.8145465362431539,0.7513627554105301,-1.0679113032643373,2.248401820079845,1.1,-0.60725,-0.91773,-0.212307,0.0,1.0,0.0,1.0
